lat,lon,name,admin1,admin2,cc
39.638,-74.7728,Hammonton,Atlantic County,08037,US
39.4218,-74.4949,Absecon,Atlantic County,08201,US
39.4101,-74.3646,Brigantine,Atlantic County,08203,US
39.4745,-74.4575,Absecon,Atlantic County,08205,US
39.5092,-74.6086,Cologne,Atlantic County,08213,US
39.5331,-74.6177,Egg Harbor City,Atlantic County,08215,US
39.5737,-74.72,Elwood,Atlantic County,08217,US
39.4921,-74.429,Leeds Point,Atlantic County,08220,US
39.3469,-74.5807,Linwood,Atlantic County,08221,US
39.3703,-74.5552,Northfield,Atlantic County,08225,US
39.4712,-74.4604,Oceanville,Atlantic County,08231,US
39.3876,-74.5149,Pleasantville,Atlantic County,08232,US
39.3741,-74.6118,Egg Harbor Township,Atlantic County,08234,US
39.4877,-74.5543,Pomona,Atlantic County,08240,US
39.5272,-74.4903,Port Republic,Atlantic County,08241,US
39.3223,-74.6008,Somers Point,Atlantic County,08244,US
39.537,-74.8895,Buena,Atlantic County,08310,US
39.4031,-74.8316,Dorothy,Atlantic County,08317,US
39.3783,-74.8165,Estell Manor,Atlantic County,08319,US
39.5239,-74.9377,Landisville,Atlantic County,08326,US
39.432,-74.6962,Mays Landing,Atlantic County,08330,US
39.4451,-74.8667,Milmay,Atlantic County,08340,US
39.5155,-74.9467,Minotola,Atlantic County,08341,US
39.5021,-74.8335,Mizpah,Atlantic County,08342,US
39.5645,-74.859,Newtonville,Atlantic County,08346,US
39.485,-74.8776,Richland,Atlantic County,08350,US
39.3664,-74.4317,Atlantic City,Atlantic County,08401,US
39.3286,-74.509,Margate City,Atlantic County,08402,US
39.3194,-74.5356,Longport,Atlantic County,08403,US
39.3643,-74.4229,Atlantic City,Atlantic County,08404,US
39.3643,-74.4229,Atlantic City,Atlantic County,08405,US
39.346,-74.4723,Ventnor City,Atlantic County,08406,US
40.8222,-73.988,Cliffside Park,Bergen County,07010,US
40.8317,-73.9738,Edgewater,Bergen County,07020,US
40.817,-74,Fairview,Bergen County,07022,US
40.8503,-73.9745,Fort Lee,Bergen County,07024,US
40.8789,-74.1081,Garfield,Bergen County,07026,US
40.7898,-74.1343,North Arlington,Bergen County,07031,US
40.8536,-74.1079,Wallington,Bergen County,07057,US
40.8292,-74.1121,Rutherford,Bergen County,07070,US
40.8094,-74.1245,Lyndhurst,Bergen County,07071,US
40.8403,-74.0925,Carlstadt,Bergen County,07072,US
40.8385,-74.1041,East Rutherford,Bergen County,07073,US
40.8394,-74.0566,Moonachie,Bergen County,07074,US
40.8493,-74.0878,Wood Ridge,Bergen County,07075,US
41.0327,-74.1342,Allendale,Bergen County,07401,US
40.9069,-74.1209,Elmwood Park,Bergen County,07407,US
40.9343,-74.1166,Fair Lawn,Bergen County,07410,US
41.0081,-74.2113,Franklin Lakes,Bergen County,07417,US
41.0004,-74.1025,Ho Ho Kus,Bergen County,07423,US
41.0817,-74.1861,Mahwah,Bergen County,07430,US
40.9957,-74.1409,Midland Park,Bergen County,07432,US
41.0294,-74.2338,Oakland,Bergen County,07436,US
41.0577,-74.1445,Ramsey,Bergen County,07446,US
40.982,-74.1131,Ridgewood,Bergen County,07450,US
40.9793,-74.1165,Ridgewood,Bergen County,07451,US
40.9602,-74.1254,Glen Rock,Bergen County,07452,US
41.0443,-74.0981,Saddle River,Bergen County,07458,US
41.013,-74.1243,Waldwick,Bergen County,07463,US
40.9978,-74.166,Wyckoff,Bergen County,07481,US
41.1039,-74.1644,Mahwah,Bergen County,07495,US
40.8882,-74.0503,Hackensack,Bergen County,07601,US
40.8859,-74.0435,Hackensack,Bergen County,07602,US
40.8744,-74.0281,Bogota,Bergen County,07603,US
40.8623,-74.0756,Hasbrouck Heights,Bergen County,07604,US
40.8629,-73.9879,Leonia,Bergen County,07605,US
40.8634,-74.0456,South Hackensack,Bergen County,07606,US
40.9024,-74.0629,Maywood,Bergen County,07607,US
40.864,-74.0556,Teterboro,Bergen County,07608,US
40.9511,-73.9308,Alpine,Bergen County,07620,US
40.9238,-73.9989,Bergenfield,Bergen County,07621,US
40.9721,-73.959,Closter,Bergen County,07624,US
40.9418,-73.9652,Cresskill,Bergen County,07626,US
40.9548,-73.9602,Demarest,Bergen County,07627,US
40.9447,-73.9921,Dumont,Bergen County,07628,US
40.9755,-74.0285,Emerson,Bergen County,07630,US
40.8943,-73.9772,Englewood,Bergen County,07631,US
40.882,-73.9544,Englewood Cliffs,Bergen County,07632,US
40.9918,-73.98,Harrington Park,Bergen County,07640,US
40.9608,-73.9874,Haworth,Bergen County,07641,US
41.0069,-74.0426,Hillsdale,Bergen County,07642,US
40.8493,-74.0405,Little Ferry,Bergen County,07643,US
40.8764,-74.0838,Lodi,Bergen County,07644,US
41.0495,-74.0384,Montvale,Bergen County,07645,US
40.9331,-74.0195,New Milford,Bergen County,07646,US
41.0086,-73.9389,Northvale,Bergen County,07647,US
40.9952,-73.9582,Norwood,Bergen County,07648,US
40.9535,-74.0335,Oradell,Bergen County,07649,US
40.8462,-73.9954,Palisades Park,Bergen County,07650,US
40.9477,-74.0672,Paramus,Bergen County,07652,US
40.9481,-74.0832,Paramus,Bergen County,07653,US
41.0343,-74.0396,Park Ridge,Bergen County,07656,US
40.8326,-74.0015,Ridgefield,Bergen County,07657,US
