STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT
725053 94728  20120801    72.2 24    68.6 24  1012.4 14  1007.5 24    7.6 24    2.2 24    7.0  999.9    75.0*   70.0*  0.55G 999.9  110000
725053 94728  20120802    77.2 24    68.0 24  1011.3 23  1006.6 24    7.8 24    1.9 23    5.1  999.9    87.1*   70.0*  0.09G 999.9  000000
725053 94728  20120803    81.3 24    70.7 24  1014.9 23  1010.2 24    8.0 24    2.9 24    6.0  999.9    88.0*   75.0*  0.00G 999.9  000000
725053 94728  20120804    81.4 24    70.9 24  1020.7 23  1016.0 24    9.0 24    2.6 22    7.0   18.1    89.1*   75.0*  0.00G 999.9  000000
725053 94728  20120805    81.7 24    73.2 24  1018.9 19  1014.8 24    9.4 24    4.6 24    9.9   22.9    89.1*   78.1*  0.00G 999.9  010000
725053 94728  20120806    77.5 24    67.0 24  1015.7 18  1010.8 24    9.1 24    4.8 22    8.9   19.0    84.9*   73.0*  0.23G 999.9  010000
725053 94728  20120807    75.2 24    58.1 24  1015.7 22  1010.9 24   10.0 24    1.2 24    5.1  999.9    82.0*   68.0*  0.01G 999.9  000000
725053 94728  20120808    77.8 24    67.1 24  1014.7 24  1010.0 24    8.8 24    1.1 24    5.1  999.9    84.0*   73.0*  0.00G 999.9  000000
725053 94728  20120809    78.9 24    69.9 24  1013.5 22  1008.8 24    9.2 24    2.0 23    7.0   15.0    86.0*   73.0*  0.00G 999.9  000000
725053 94728  20120810    77.2 24    71.9 24  1010.4 18  1005.5 24    8.9 24    3.4 22    8.0   15.0    79.0*   70.0*  0.00G 999.9  010000
725053 94728  20120811    79.2 24    71.3 24  1010.0 23  1005.2 24    9.5 24    3.6 23    7.0  999.9    84.9*   75.0*  0.24G 999.9  000000
725053 94728  20120812    78.5 24    63.8 24  1012.6 20  1007.8 24   10.0 24    4.4 24    9.9   17.1    84.9*   73.0*  0.00G 999.9  000000
725053 94728  20120813    76.6 24    58.1 24  1014.5 24  1009.8 24   10.0 24    3.7 23    6.0  999.9    84.0*   69.1*  0.00G 999.9  000000
725053 94728  20120814    76.0 24    62.6 24  1014.0 24  1009.3 24    9.6 24    2.0 22    7.0  999.9    78.1*   72.0*  0.00G 999.9  000000
725053 94728  20120815    74.8 24    69.1 24  1011.4 16  1006.5 24    7.9 24    2.7 24    8.0  999.9    81.0*   68.0*  0.01G 999.9  110000
725053 94728  20120816    73.5 24    62.3 24  1011.8 21  1007.0 24    7.9 24    2.8 23    9.9   15.0    84.0*   66.2*  0.57G 999.9  000000
725053 94728  20120817    77.9 24    60.7 24  1010.6 23  1005.8 24    9.5 24    3.3 24    7.0   17.1    87.1*   71.1*  0.00G 999.9  010000
725053 94728  20120818    70.3 24    61.1 24  1011.3 21  1006.7 24    9.0 24    3.3 24    7.0  999.9    78.1*   62.6*  0.32G 999.9  010000
725053 94728  20120819    68.7 24    53.4 24  1014.1 24  1009.3 24   10.0 24    1.1 24    6.0  999.9    73.0*   63.0*  0.15G 999.9  000000
725053 94728  20120820    71.4 24    56.7 24  1012.5 24  1007.6 24   10.0 24    0.8 24    4.1  999.9    77.0*   64.9*  0.00G 999.9  000000
725053 94728  20120821    72.8 24    57.3 24  1015.5 24  1010.7 24   10.0 24    2.5 24    5.1  999.9    81.0*   66.0*  0.00G 999.9  000000
725053 94728  20120822    73.8 24    60.3 24  1019.6 24  1014.8 24    9.8 24    1.7 23    5.1  999.9    82.0    68.0   0.00G 999.9  000000
725053 94728  20120823    75.2 24    61.6 24  1020.4 24  1015.6 24    9.6 24    2.2 22    5.1  999.9    84.9    69.1   0.00G 999.9  000000
725053 94728  20120824    77.3 24    60.9 24  1020.7 24  1015.9 24    9.3 24    2.0 24    5.1  999.9    87.1    69.1   0.00G 999.9  000000
725053 94728  20120825    77.0 24    64.5 24  1023.4 24  1018.7 24    8.4 24    2.4 23    6.0  999.9    86.0    72.0   0.00G 999.9  000000
725053 94728  20120826    73.9 24    62.4 24  1025.2 23  1020.4 24   10.0 24    4.6 23    8.9   15.0    84.0    68.0   0.00G 999.9  000000
725053 94728  20120827    73.9 24    67.4 24  1020.3 18  1015.8 24    9.6 24    2.6 23    8.9   18.1    81.0    70.0   0.00G 999.9  110000
725053 94728  20120828    78.2 24    66.9 24  1011.3 17  1006.8 24    9.1 24    5.3 20    8.9   20.0    87.1    73.0   0.75G 999.9  010000
725053 94728  20120829    73.3 24    53.2 24  1014.0 24  1009.3 24   10.0 24    4.7 24    8.0   14.0    81.0    66.9   0.14G 999.9  000000
725053 94728  20120830    72.0 24    49.4 24  1017.6 24  1012.8 24   10.0 24    2.5 22    8.0  999.9    82.0    61.0   0.00G 999.9  000000
725053 94728  20120831    78.7 24    56.1 24  1016.3 23  1011.4 24    9.9 24    3.9 24    7.0   18.1    91.0    69.1   0.00G 999.9  000000
725053 94728  20120901    81.6 24    61.3 24  1014.6 24  1009.9 24    9.9 24    4.7 20    8.0   15.0    91.0    77.0   0.00G 999.9  000000
725053 94728  20120902    75.4 24    65.9 24  1017.7 19  1013.0 24    9.8 24    3.2 24    6.0  999.9    82.0    71.1   0.00G 999.9  000000
725053 94728  20120903    73.8 24    65.1 24  1019.8 18  1015.0 24   10.0 24    4.5 24    8.0  999.9    79.0    71.1   0.00G 999.9  000000
725053 94728  20120904    72.8 24    68.6 24  1016.8 15  1011.9 24    8.8 24    4.4 24    8.0   15.9    79.0*   69.8*  0.02G 999.9  010000
725053 94728  20120905    76.2 24    71.4 24  1009.5 15  1004.6 24    7.5 24    3.9 23    8.0   17.1    80.1    73.0   0.13G 999.9  010000
725053 94728  20120906    73.8 24    65.0 24  1011.2 24  1006.5 24   10.0 24    1.4 24    5.1  999.9    80.1    69.1   0.05G 999.9  000000
725053 94728  20120907    77.7 24    68.0 24  1012.1 24  1007.4 24    9.1 24    2.8 24    6.0  999.9    87.1    71.1   0.00G 999.9  000000
725053 94728  20120908    76.0 24    69.1 24  1007.4 19  1003.0 24    9.1 24    4.3 22    7.0   28.9    82.0    70.0   0.00G 999.9  110000
725053 94728  20120909    68.1 24    56.9 24  1009.5 24  1004.5 24    9.5 24    2.6 24    5.1  999.9    77.0    63.0   0.39G 999.9  010000
725053 94728  20120910    65.1 24    47.9 24  1014.5 23  1009.7 23   10.0 24    4.2 23    8.0   21.0    72.0    57.9   0.00G 999.9  000000
725053 94728  20120911    62.8 24    41.8 24  1022.9 24  1018.0 24   10.0 24    3.1 24    7.0  999.9    73.0    54.0   0.00G 999.9  000000
725053 94728  20120912    68.5 24    49.7 24  1026.5 24  1021.6 24   10.0 24    2.1 23    7.0  999.9    80.1    59.0   0.00G 999.9  000000
725053 94728  20120913    70.4 24    54.8 24  1027.4 24  1022.6 24   10.0 24    3.2 20    7.0  999.9    81.0    63.0   0.00G 999.9  000000
725053 94728  20120914    70.8 24    57.7 24  1023.4 24  1018.5 24   10.0 24    2.4 23    6.0  999.9    80.1    64.0   0.00G 999.9  000000
725053 94728  20120915    67.4 24    51.8 24  1019.1 24  1014.3 24   10.0 24    4.3 21    8.9   20.0    73.0    60.1   0.01G 999.9  000000
725053 94728  20120916    65.1 24    46.5 24  1018.9 24  1014.1 24   10.0 24    1.9 22    5.1  999.9    75.0    55.9   0.00I 999.9  000000
725053 94728  20120917    66.5 24    48.0 24  1018.3 24  1013.5 24   10.0 24    2.2 23    7.0  999.9    78.1    57.0   0.00G 999.9  000000
725053 94728  20120918    70.6 24    64.8 24  1011.8 20  1006.4 24    7.6 24    5.5 21   19.0   27.0    75.0*   66.9*  0.11G 999.9  110000
725053 94728  20120919    65.1 24    51.6 24  1014.6 20  1007.9 24    8.8 24    4.7 24   11.1   19.0    70.0    59.0   1.43G 999.9  010000
725053 94728  20120920    61.0 24    48.3 24  1021.5 23  1016.6 24   10.0 24    4.6 23    8.0  999.9    69.1    54.0   0.00G 999.9  000000
725053 94728  20120921    65.1 24    53.3 24  1018.8 22  1014.0 24   10.0 24    4.2 22    7.0  999.9    75.0    60.1   0.00G 999.9  000000
725053 94728  20120922    66.5 24    59.6 24  1013.3 24  1008.5 24    9.8 24    3.3 22    8.0   20.0    75.9    60.1   0.00G 999.9  000000
725053 94728  20120923    63.2 24    48.9 24  1015.1 23  1010.1 24    9.3 24    5.9 21    9.9   15.9    72.0    55.0   0.22G 999.9  010000
725053 94728  20120924    59.0 24    40.4 24  1020.0 24  1015.2 24   10.0 24    3.3 24    8.0  999.9    66.9    53.1   0.00G 999.9  000000
725053 94728  20120925    62.0 24    43.4 24  1021.0 24  1016.1 24   10.0 24    4.9 22    8.9   15.9    72.0    54.0   0.00G 999.9  000000
725053 94728  20120926    67.7 24    56.8 24  1018.7 24  1013.8 24   10.0 24    4.3 23    8.0  999.9    77.0    63.0   0.00G 999.9  000000
725053 94728  20120927    69.0 24    60.4 24  1019.4 23  1014.6 24    8.7 24    1.8 23    7.0  999.9    75.0    64.0   0.06G 999.9  010000
725053 94728  20120928    65.9 24    62.8 24  1018.8 12  1013.1 24    5.7 24    4.1 23    8.9  999.9    69.1*   62.6*  0.25G 999.9  110000
725053 94728  20120929    60.7 24    55.5 24  1013.2 21  1008.5 24    9.6 24    2.2 24    5.1  999.9    64.9    57.0   1.72G 999.9  000000
725053 94728  20120930    60.6 24    50.9 24  1010.0 20  1005.3 24   10.0 24    2.5 24    8.9   15.9    68.0    55.0   0.00G 999.9  000000
725053 94728  20121001    60.5 24    46.5 24  1011.1 24  1006.3 24   10.0 24    4.3 23    8.9   15.9    70.0    52.0   0.00G 999.9  000000
725053 94728  20121002    63.7 24    54.2 24  1015.5 17  1010.6 24    7.3 24    2.4 24    8.0  999.9    69.1    62.1   0.00G 999.9  010000
725053 94728  20121003    66.2 24    64.5 24  1016.9 20  1012.0 24    1.8 24    1.9 24    5.1  999.9    73.0    63.0   0.38G 999.9  100000
725053 94728  20121004    70.3 24    67.0 24  1019.2 18  1014.3 24    3.8 24    1.0 23    6.0  999.9    73.4*   68.0*  0.00G 999.9  010000
725053 94728  20121005    68.9 24    59.5 24  1016.8 22  1012.2 24    8.3 24    2.4 24    6.0  999.9    78.1    61.0   0.00G 999.9  000000
725053 94728  20121006    67.9 24    56.0 24  1011.3 24  1006.5 24    9.5 24    5.2 22    8.9   21.0    77.0    57.0   0.00G 999.9  000000
725053 94728  20121007    52.2 24    41.8 24  1017.3 24  1012.4 24    9.3 24    1.4 22    7.0  999.9    57.0    48.0   0.00G 999.9  010000
